!MiriamID::urn:miriam:kegg.reaction,!dG0_prime (kJ/mol),!sigma[dG0] (kJ/mol),!pH,!I (mM),!T (Kelvin),!Note
R01818,4.3,3.0,8.5,0.1,298.15,
R01819,-0.8,2.3,8.5,0.1,298.15,
R01821,-170.5,1.9,8.5,0.1,298.15,
R01823,161.6,2.6,8.5,0.1,298.15,
R01824,,,8.5,0.1,298.15,uncertainty is too high
R01825,-58.7,4.4,8.5,0.1,298.15,
R01826,-68.8,4.7,8.5,0.1,298.15,
R01827,-0.1,2.8,8.5,0.1,298.15,
R01829,12.7,5.6,8.5,0.1,298.15,
R01830,10.3,3.8,8.5,0.1,298.15,
R01833,,,8.5,0.1,298.15,uncertainty is too high
R01834,,,8.5,0.1,298.15,uncertainty is too high
R01835,,,8.5,0.1,298.15,uncertainty is too high
R01836,-5.5,1.7,8.5,0.1,298.15,
R01837,,,8.5,0.1,298.15,uncertainty is too high
R01838,-4.5,1.8,8.5,0.1,298.15,
R01840,,,8.5,0.1,298.15,uncertainty is too high
R01841,,,8.5,0.1,298.15,uncertainty is too high
R01842,,,8.5,0.1,298.15,uncertainty is too high
R01843,-15.8,5.7,8.5,0.1,298.15,
R01844,-17.7,5.0,8.5,0.1,298.15,
R01845,-18.1,5.7,8.5,0.1,298.15,
R01850,,,8.5,0.1,298.15,uncertainty is too high
R01851,-60.5,12.5,8.5,0.1,298.15,
R01853,,,8.5,0.1,298.15,uncertainty is too high
R01854,,,8.5,0.1,298.15,uncertainty is too high
R01855,,,8.5,0.1,298.15,uncertainty is too high
R01856,,,8.5,0.1,298.15,uncertainty is too high
R01857,2.7,4.7,8.5,0.1,298.15,
R01858,,,8.5,0.1,298.15,uncertainty is too high
R01859,-9.6,10.4,8.5,0.1,298.15,
R01860,-2.5,12.9,8.5,0.1,298.15,
R01861,,,8.5,0.1,298.15,uncertainty is too high
R01862,,,8.5,0.1,298.15,uncertainty is too high
R01863,7.9,2.1,8.5,0.1,298.15,
R01866,5.2,2.5,8.5,0.1,298.15,
R01867,-50.4,4.7,8.5,0.1,298.15,
R01868,,,8.5,0.1,298.15,uncertainty is too high
R01869,4.2,2.4,8.5,0.1,298.15,
R01870,0.4,2.6,8.5,0.1,298.15,
R01872,8.1,5.8,8.5,0.1,298.15,
R01873,-50.7,45.1,8.5,0.1,298.15,
R01874,-1.7,8.8,8.5,0.1,298.15,
R01875,,,8.5,0.1,298.15,uncertainty is too high
R01876,6.1,2.6,8.5,0.1,298.15,
R01877,-11.7,15.1,8.5,0.1,298.15,
R01878,-14.3,2.2,8.5,0.1,298.15,
R01879,-453.1,17.7,8.5,0.1,298.15,
R01880,,,8.5,0.1,298.15,uncertainty is too high
R01881,5.0,0.4,8.5,0.1,298.15,
R01882,-38.9,0.7,8.5,0.1,298.15,
R01883,,,8.5,0.1,298.15,uncertainty is too high
R01884,2.8,8.4,8.5,0.1,298.15,
R01885,-27.3,7.6,8.5,0.1,298.15,
R01886,1.2,22.4,8.5,0.1,298.15,
R01887,,,8.5,0.1,298.15,uncertainty is too high
R01888,-5.3,40.5,8.5,0.1,298.15,
R01889,-25.6,43.9,8.5,0.1,298.15,
R01890,4.4,5.8,8.5,0.1,298.15,
R01891,,,8.5,0.1,298.15,uncertainty is too high
R01892,,,8.5,0.1,298.15,uncertainty is too high
R01895,11.0,2.1,8.5,0.1,298.15,
R01896,11.5,1.9,8.5,0.1,298.15,
R01898,-2.8,3.5,8.5,0.1,298.15,
R01899,13.3,5.2,8.5,0.1,298.15,
R01900,0.7,2.2,8.5,0.1,298.15,
R01901,-29.4,5.0,8.5,0.1,298.15,
R01902,-32.5,5.1,8.5,0.1,298.15,
R01903,21.2,5.1,8.5,0.1,298.15,
R01904,12.1,2.6,8.5,0.1,298.15,
R01905,3.3,7.7,8.5,0.1,298.15,
R01906,-12.7,4.9,8.5,0.1,298.15,
R01908,-13.4,13.2,8.5,0.1,298.15,
R01909,-17.5,4.3,8.5,0.1,298.15,
R01910,-107.5,9.0,8.5,0.1,298.15,
R01911,16.4,4.3,8.5,0.1,298.15,
R01912,-23.7,5.5,8.5,0.1,298.15,
R01913,-509.9,8.5,8.5,0.1,298.15,
R01914,-91.9,18.7,8.5,0.1,298.15,
R01915,,,8.5,0.1,298.15,uncertainty is too high
R01917,-29.6,21.4,8.5,0.1,298.15,
R01918,-4.3,31.8,8.5,0.1,298.15,
R01919,0.5,29.3,8.5,0.1,298.15,
R01920,,,8.5,0.1,298.15,uncertainty is too high
R01921,18.1,4.1,8.5,0.1,298.15,
R01922,,,8.5,0.1,298.15,uncertainty is too high
R01923,1.3,5.8,8.5,0.1,298.15,
R01924,,,8.5,0.1,298.15,uncertainty is too high
R01925,-1.1,5.8,8.5,0.1,298.15,
R01926,-17.8,21.3,8.5,0.1,298.15,
R01928,-30.2,22.2,8.5,0.1,298.15,
R01929,,,8.5,0.1,298.15,uncertainty is too high
R01930,,,8.5,0.1,298.15,uncertainty is too high
R01931,,,8.5,0.1,298.15,uncertainty is too high
R01932,-16.8,3.2,8.5,0.1,298.15,
R01933,-32.4,7.3,8.5,0.1,298.15,
R01934,9.6,8.5,8.5,0.1,298.15,
R01936,-4.1,9.8,8.5,0.1,298.15,
R01937,76.8,6.4,8.5,0.1,298.15,
R01938,77.8,6.4,8.5,0.1,298.15,
R01939,-0.7,5.8,8.5,0.1,298.15,
R01940,,,8.5,0.1,298.15,uncertainty is too high
R01941,-19.9,18.6,8.5,0.1,298.15,
R01942,,,8.5,0.1,298.15,uncertainty is too high
R01943,-16.9,18.1,8.5,0.1,298.15,
R01944,-32.3,39.8,8.5,0.1,298.15,
R01945,19.9,37.9,8.5,0.1,298.15,
R01946,-3.4,38.0,8.5,0.1,298.15,
R01951,-1.2,6.1,8.5,0.1,298.15,
R01952,,,8.5,0.1,298.15,uncertainty is too high
R01954,-13.9,2.9,8.5,0.1,298.15,
R01956,-7.2,13.1,8.5,0.1,298.15,
R01957,-15.3,13.4,8.5,0.1,298.15,
R01959,-40.5,14.6,8.5,0.1,298.15,
R01960,-435.0,16.6,8.5,0.1,298.15,
R01961,-18.7,5.8,8.5,0.1,298.15,
R01962,-171.3,10.4,8.5,0.1,298.15,
R01963,,,8.5,0.1,298.15,uncertainty is too high
R01964,-22.4,6.4,8.5,0.1,298.15,
R01965,-21.8,6.7,8.5,0.1,298.15,
R01966,-56.8,3.8,8.5,0.1,298.15,
R01967,,,8.5,0.1,298.15,uncertainty is too high
R01968,-13.7,4.6,8.5,0.1,298.15,
R01969,,,8.5,0.1,298.15,uncertainty is too high
R01971,-22.6,5.8,8.5,0.1,298.15,
R01972,,,8.5,0.1,298.15,uncertainty is too high
R01973,,,8.5,0.1,298.15,uncertainty is too high
R01974,13.3,6.7,8.5,0.1,298.15,
R01975,9.5,2.4,8.5,0.1,298.15,
R01976,10.4,2.5,8.5,0.1,298.15,
R01977,10.9,7.1,8.5,0.1,298.15,
R01978,26.0,30.5,8.5,0.1,298.15,
R01980,-14.8,3.4,8.5,0.1,298.15,
R01981,-45.3,3.3,8.5,0.1,298.15,
R01982,-511.6,3.5,8.5,0.1,298.15,
R01983,1.3,4.1,8.5,0.1,298.15,
R01984,39.6,5.0,8.5,0.1,298.15,
R01986,-63.6,5.5,8.5,0.1,298.15,
R01987,20.2,4.4,8.5,0.1,298.15,
R01989,41.4,15.0,8.5,0.1,298.15,
R01990,-69.8,12.0,8.5,0.1,298.15,
R01991,-45.8,5.8,8.5,0.1,298.15,
R01992,-4.2,18.3,8.5,0.1,298.15,
R01993,-12.2,3.4,8.5,0.1,298.15,
R01994,,,8.5,0.1,298.15,uncertainty is too high
R01995,,,8.5,0.1,298.15,uncertainty is too high
R01996,,,8.5,0.1,298.15,uncertainty is too high
R01997,,,8.5,0.1,298.15,uncertainty is too high
R01998,,,8.5,0.1,298.15,uncertainty is too high
R01999,,,8.5,0.1,298.15,uncertainty is too high
R02000,,,8.5,0.1,298.15,uncertainty is too high
R02002,,,8.5,0.1,298.15,uncertainty is too high
R02003,-80.4,20.4,8.5,0.1,298.15,
R02004,,,8.5,0.1,298.15,uncertainty is too high
R02006,,,8.5,0.1,298.15,uncertainty is too high
R02007,,,8.5,0.1,298.15,uncertainty is too high
R02008,-46.9,21.1,8.5,0.1,298.15,
R02009,-30.8,17.7,8.5,0.1,298.15,
R02010,-262.6,20.7,8.5,0.1,298.15,
R02011,,,8.5,0.1,298.15,uncertainty is too high
R02012,,,8.5,0.1,298.15,uncertainty is too high
R02013,-186.1,19.5,8.5,0.1,298.15,
R02014,23.0,9.7,8.5,0.1,298.15,
R02016,21.6,5.9,8.5,0.1,298.15,
R02017,26.0,8.8,8.5,0.1,298.15,
R02018,21.3,18.5,8.5,0.1,298.15,
R02019,20.2,7.7,8.5,0.1,298.15,
R02020,,,8.5,0.1,298.15,uncertainty is too high
R02021,-31.7,15.6,8.5,0.1,298.15,
R02022,17.4,19.4,8.5,0.1,298.15,
R02023,17.2,19.5,8.5,0.1,298.15,
R02024,22.3,7.6,8.5,0.1,298.15,
R02025,,,8.5,0.1,298.15,uncertainty is too high
R02026,,,8.5,0.1,298.15,uncertainty is too high
R02027,,,8.5,0.1,298.15,uncertainty is too high
R02029,,,8.5,0.1,298.15,uncertainty is too high
R02030,,,8.5,0.1,298.15,uncertainty is too high
R02032,12.2,3.9,8.5,0.1,298.15,
R02034,13.2,3.9,8.5,0.1,298.15,
R02035,-29.4,3.3,8.5,0.1,298.15,
R02036,-43.1,5.1,8.5,0.1,298.15,
R02037,,,8.5,0.1,298.15,uncertainty is too high
R02038,1.9,5.8,8.5,0.1,298.15,
R02039,,,8.5,0.1,298.15,uncertainty is too high
R02040,,,8.5,0.1,298.15,uncertainty is too high
R02041,,,8.5,0.1,298.15,uncertainty is too high
R02042,,,8.5,0.1,298.15,uncertainty is too high
R02047,12.8,3.4,8.5,0.1,298.15,
R02050,-1.1,4.5,8.5,0.1,298.15,
R02051,,,8.5,0.1,298.15,uncertainty is too high
R02052,,,8.5,0.1,298.15,uncertainty is too high
R02053,,,8.5,0.1,298.15,uncertainty is too high
R02054,,,8.5,0.1,298.15,uncertainty is too high
R02055,,,8.5,0.1,298.15,uncertainty is too high
R02056,,,8.5,0.1,298.15,uncertainty is too high
R02057,,,8.5,0.1,298.15,uncertainty is too high
R02058,-28.2,7.5,8.5,0.1,298.15,
R02059,-10.9,7.5,8.5,0.1,298.15,
R02060,-4.5,3.4,8.5,0.1,298.15,
R02061,-80.4,29.7,8.5,0.1,298.15,
R02063,-155.0,32.5,8.5,0.1,298.15,
R02064,-422.9,52.1,8.5,0.1,298.15,
R02065,-153.5,58.0,8.5,0.1,298.15,
R02068,,,8.5,0.1,298.15,uncertainty is too high
R02071,-20.7,4.9,8.5,0.1,298.15,
R02073,-4.3,4.3,8.5,0.1,298.15,
R02075,-259.7,12.5,8.5,0.1,298.15,
R02076,-260.1,12.5,8.5,0.1,298.15,
R02077,-7.8,16.8,8.5,0.1,298.15,
R02078,-453.3,16.3,8.5,0.1,298.15,
R02080,-11.9,17.6,8.5,0.1,298.15,
R02081,-10.3,5.2,8.5,0.1,298.15,
R02082,-8.4,5.3,8.5,0.1,298.15,
R02083,-30.5,30.7,8.5,0.1,298.15,
R02084,-3.2,5.6,8.5,0.1,298.15,
R02085,3.1,32.1,8.5,0.1,298.15,
R02087,2.2,5.8,8.5,0.1,298.15,
R02088,-16.4,5.0,8.5,0.1,298.15,
R02089,-17.5,5.0,8.5,0.1,298.15,
R02090,1.4,5.8,8.5,0.1,298.15,
R02091,,,8.5,0.1,298.15,uncertainty is too high
R02092,-31.4,5.8,8.5,0.1,298.15,
R02093,2.5,5.1,8.5,0.1,298.15,
R02094,-2.5,5.8,8.5,0.1,298.15,
R02095,-36.4,5.1,8.5,0.1,298.15,
R02096,-21.8,6.3,8.5,0.1,298.15,
R02097,-28.0,8.1,8.5,0.1,298.15,
R02098,0.0,16.9,8.5,0.1,298.15,
R02099,-21.9,16.3,8.5,0.1,298.15,
R02100,-52.6,17.8,8.5,0.1,298.15,
R02101,-44.7,16.9,8.5,0.1,298.15,
R02102,-12.0,16.3,8.5,0.1,298.15,
R02103,-30.2,9.1,8.5,0.1,298.15,
R02106,34.1,26.0,8.5,0.1,298.15,
R02107,-155.1,12.3,8.5,0.1,298.15,
R02108,,,8.5,0.1,298.15,uncertainty is too high
R02109,,,8.5,0.1,298.15,uncertainty is too high
R02110,,,8.5,0.1,298.15,uncertainty is too high
R02111,,,8.5,0.1,298.15,uncertainty is too high
R02112,,,8.5,0.1,298.15,uncertainty is too high
R02113,-19.6,171.5,8.5,0.1,298.15,
R02114,,,8.5,0.1,298.15,uncertainty is too high
R02115,,,8.5,0.1,298.15,uncertainty is too high
R02116,1570.7,91.7,8.5,0.1,298.15,
R02118,-27.1,17.4,8.5,0.1,298.15,
R02119,-29.3,17.4,8.5,0.1,298.15,
R02120,161.6,2.6,8.5,0.1,298.15,
R02122,,,8.5,0.1,298.15,uncertainty is too high
R02123,-55.4,5.0,8.5,0.1,298.15,
R02124,2.8,3.4,8.5,0.1,298.15,
R02125,-180.3,9.6,8.5,0.1,298.15,
R02126,7.7,5.8,8.5,0.1,298.15,
R02127,,,8.5,0.1,298.15,uncertainty is too high
R02128,,,8.5,0.1,298.15,uncertainty is too high
R02129,-62.3,8.2,8.5,0.1,298.15,
R02130,,,8.5,0.1,298.15,uncertainty is too high
R02131,,,8.5,0.1,298.15,uncertainty is too high
R02132,,,8.5,0.1,298.15,uncertainty is too high
R02133,,,8.5,0.1,298.15,uncertainty is too high
R02134,,,8.5,0.1,298.15,uncertainty is too high
R02135,,,8.5,0.1,298.15,uncertainty is too high
R02136,-30.4,4.4,8.5,0.1,298.15,
R02137,-1.1,5.0,8.5,0.1,298.15,
R02138,-6.2,42.7,8.5,0.1,298.15,
R02139,41.8,16.3,8.5,0.1,298.15,
R02141,-2.2,12.6,8.5,0.1,298.15,
R02142,27.4,12.6,8.5,0.1,298.15,
R02143,-3.7,6.8,8.5,0.1,298.15,
R02144,,,8.5,0.1,298.15,uncertainty is too high
R02145,,,8.5,0.1,298.15,uncertainty is too high
R02147,10.8,4.1,8.5,0.1,298.15,
R02148,,,8.5,0.1,298.15,uncertainty is too high
R02150,-87.2,18.0,8.5,0.1,298.15,
R02152,-21.6,16.8,8.5,0.1,298.15,
R02155,,,8.5,0.1,298.15,uncertainty is too high
R02156,,,8.5,0.1,298.15,uncertainty is too high
R02157,,,8.5,0.1,298.15,uncertainty is too high
R02158,,,8.5,0.1,298.15,uncertainty is too high
R02159,,,8.5,0.1,298.15,uncertainty is too high
R02160,,,8.5,0.1,298.15,uncertainty is too high
R02161,,,8.5,0.1,298.15,uncertainty is too high
R02163,76.2,5.9,8.5,0.1,298.15,
R02164,-21.7,7.1,8.5,0.1,298.15,
R02165,-52.3,10.2,8.5,0.1,298.15,
R02166,,,8.5,0.1,298.15,uncertainty is too high
R02167,-10.5,3.5,8.5,0.1,298.15,
R02168,-24.7,7.3,8.5,0.1,298.15,
R02170,,,8.5,0.1,298.15,uncertainty is too high
R02171,-20.3,20.5,8.5,0.1,298.15,
R02172,-5.1,20.6,8.5,0.1,298.15,
R02173,-95.1,18.9,8.5,0.1,298.15,
R02174,,,8.5,0.1,298.15,uncertainty is too high
R02175,,,8.5,0.1,298.15,uncertainty is too high
R02177,-1.2,31.8,8.5,0.1,298.15,
R02178,-396.2,32.1,8.5,0.1,298.15,
R02179,-19.6,32.5,8.5,0.1,298.15,
R02180,,,8.5,0.1,298.15,uncertainty is too high
R02181,,,8.5,0.1,298.15,uncertainty is too high
R02182,,,8.5,0.1,298.15,uncertainty is too high
R02183,,,8.5,0.1,298.15,uncertainty is too high
R02184,872.6,1.1,8.5,0.1,298.15,
R02185,-897.9,1.3,8.5,0.1,298.15,
R02186,871.2,42.9,8.5,0.1,298.15,
R02187,-897.9,1.3,8.5,0.1,298.15,
R02188,853.8,1.4,8.5,0.1,298.15,
R02189,-897.9,1.3,8.5,0.1,298.15,
R02190,,,8.5,0.1,298.15,uncertainty is too high
R02191,,,8.5,0.1,298.15,uncertainty is too high
R02192,,,8.5,0.1,298.15,uncertainty is too high
R02193,-13.3,3.4,8.5,0.1,298.15,
R02194,-16.6,18.3,8.5,0.1,298.15,
R02195,19.6,38.4,8.5,0.1,298.15,
R02196,24.1,6.9,8.5,0.1,298.15,
R02197,-100.7,10.7,8.5,0.1,298.15,
R02199,-4.9,6.9,8.5,0.1,298.15,
R02200,7.9,10.3,8.5,0.1,298.15,
R02201,13.8,2.5,8.5,0.1,298.15,
R02203,14.8,2.4,8.5,0.1,298.15,
R02204,-90.6,15.9,8.5,0.1,298.15,
R02205,34.4,14.8,8.5,0.1,298.15,
R02206,,,8.5,0.1,298.15,uncertainty is too high
R02207,,,8.5,0.1,298.15,uncertainty is too high
R02208,,,8.5,0.1,298.15,uncertainty is too high
R02209,,,8.5,0.1,298.15,uncertainty is too high
R02210,,,8.5,0.1,298.15,uncertainty is too high
R02211,,,8.5,0.1,298.15,uncertainty is too high
R02212,,,8.5,0.1,298.15,uncertainty is too high
R02213,,,8.5,0.1,298.15,uncertainty is too high
R02214,,,8.5,0.1,298.15,uncertainty is too high
R02215,,,8.5,0.1,298.15,uncertainty is too high
R02216,,,8.5,0.1,298.15,uncertainty is too high
R02218,,,8.5,0.1,298.15,uncertainty is too high
R02219,,,8.5,0.1,298.15,uncertainty is too high
R02220,-20.3,30.1,8.5,0.1,298.15,
R02221,-14.8,4.6,8.5,0.1,298.15,
R02222,,,8.5,0.1,298.15,uncertainty is too high
R02223,-43.3,43.6,8.5,0.1,298.15,
R02224,-45.2,43.6,8.5,0.1,298.15,
R02225,-7.0,53.9,8.5,0.1,298.15,
R02226,,,8.5,0.1,298.15,uncertainty is too high
R02227,-5.4,53.9,8.5,0.1,298.15,
R02228,-26.9,53.9,8.5,0.1,298.15,
R02229,-0.0,2.9,8.5,0.1,298.15,
R02231,-353.2,16.0,8.5,0.1,298.15,
R02232,-11.0,45.0,8.5,0.1,298.15,
R02233,-118.4,32.4,8.5,0.1,298.15,
R02234,,,8.5,0.1,298.15,uncertainty is too high
R02235,3.7,6.2,8.5,0.1,298.15,
R02236,4.7,6.2,8.5,0.1,298.15,
R02237,,,8.5,0.1,298.15,uncertainty is too high
R02238,-13.1,6.7,8.5,0.1,298.15,
R02239,,,8.5,0.1,298.15,uncertainty is too high
R02240,,,8.5,0.1,298.15,uncertainty is too high
R02241,,,8.5,0.1,298.15,uncertainty is too high
R02242,,,8.5,0.1,298.15,uncertainty is too high
R02243,-8.4,7.2,8.5,0.1,298.15,
R02244,3.7,5.5,8.5,0.1,298.15,
R02245,-21.4,6.0,8.5,0.1,298.15,
R02246,89.9,6.1,8.5,0.1,298.15,
R02247,90.8,6.1,8.5,0.1,298.15,
R02248,,,8.5,0.1,298.15,uncertainty is too high
R02249,,,8.5,0.1,298.15,uncertainty is too high
R02250,,,8.5,0.1,298.15,uncertainty is too high
R02251,,,8.5,0.1,298.15,uncertainty is too high
R02252,49.0,8.1,8.5,0.1,298.15,
R02253,-429.7,10.7,8.5,0.1,298.15,
R02254,-430.0,10.7,8.5,0.1,298.15,
R02255,-10.3,9.2,8.5,0.1,298.15,
R02256,6.6,10.6,8.5,0.1,298.15,
R02257,23.9,3.0,8.5,0.1,298.15,
R02258,21.8,4.0,8.5,0.1,298.15,
R02259,24.9,2.9,8.5,0.1,298.15,
R02260,3.1,4.2,8.5,0.1,298.15,
R02261,18.0,4.6,8.5,0.1,298.15,
R02262,19.8,5.8,8.5,0.1,298.15,
R02263,6.4,5.8,8.5,0.1,298.15,
R02264,,,8.5,0.1,298.15,uncertainty is too high
R02265,,,8.5,0.1,298.15,uncertainty is too high
R02266,,,8.5,0.1,298.15,uncertainty is too high
R02267,,,8.5,0.1,298.15,uncertainty is too high
R02268,,,8.5,0.1,298.15,uncertainty is too high
R02269,-16.5,3.4,8.5,0.1,298.15,
R02271,5.0,5.1,8.5,0.1,298.15,
R02272,8.6,5.2,8.5,0.1,298.15,
R02273,-12.0,8.5,8.5,0.1,298.15,
R02274,-0.6,5.3,8.5,0.1,298.15,
R02276,-8.4,6.9,8.5,0.1,298.15,
R02277,,,8.5,0.1,298.15,uncertainty is too high
R02278,-34.1,5.5,8.5,0.1,298.15,
R02279,-44.8,8.2,8.5,0.1,298.15,
R02280,34.3,7.7,8.5,0.1,298.15,
R02281,,,8.5,0.1,298.15,uncertainty is too high
R02282,3.1,5.8,8.5,0.1,298.15,
R02283,-11.7,6.5,8.5,0.1,298.15,
R02284,-10.0,5.8,8.5,0.1,298.15,
R02285,,,8.5,0.1,298.15,uncertainty is too high
R02286,,,8.5,0.1,298.15,uncertainty is too high
R02287,12.7,4.1,8.5,0.1,298.15,
R02288,,,8.5,0.1,298.15,uncertainty is too high
R02289,,,8.5,0.1,298.15,uncertainty is too high
R02291,-25.8,3.4,8.5,0.1,298.15,
R02292,-122.8,12.0,8.5,0.1,298.15,
R02293,20.8,9.4,8.5,0.1,298.15,
R02294,-31.4,5.8,8.5,0.1,298.15,
R02295,-4.9,17.2,8.5,0.1,298.15,
R02296,11.4,4.6,8.5,0.1,298.15,
R02297,8.9,5.8,8.5,0.1,298.15,
R02298,7.4,20.6,8.5,0.1,298.15,
R02300,,,8.5,0.1,298.15,uncertainty is too high
R02301,,,8.5,0.1,298.15,uncertainty is too high
R02302,,,8.5,0.1,298.15,uncertainty is too high
R02303,2.6,30.0,8.5,0.1,298.15,
R02305,,,8.5,0.1,298.15,uncertainty is too high
R02306,-314.7,32.6,8.5,0.1,298.15,
R02307,,,8.5,0.1,298.15,uncertainty is too high
R02309,-1087.1,27.0,8.5,0.1,298.15,
R02310,8.6,28.0,8.5,0.1,298.15,
R02311,-359.3,43.8,8.5,0.1,298.15,
R02313,27.2,6.0,8.5,0.1,298.15,
R02315,28.2,6.0,8.5,0.1,298.15,
R02317,-3.9,13.1,8.5,0.1,298.15,
R02318,0.0,7.8,8.5,0.1,298.15,
R02319,,,8.5,0.1,298.15,uncertainty is too high
R02320,,,8.5,0.1,298.15,uncertainty is too high
R02321,,,8.5,0.1,298.15,uncertainty is too high
R02322,3.7,10.7,8.5,0.1,298.15,
R02323,6.3,9.8,8.5,0.1,298.15,
R02324,-40.2,9.9,8.5,0.1,298.15,
R02325,-25.0,19.3,8.5,0.1,298.15,
R02326,4.3,4.7,8.5,0.1,298.15,
R02327,-29.8,21.5,8.5,0.1,298.15,
R02328,0.3,5.8,8.5,0.1,298.15,
R02329,-5.7,4.9,8.5,0.1,298.15,
R02330,-35.3,18.6,8.5,0.1,298.15,
R02331,1.4,18.6,8.5,0.1,298.15,
R02332,-26.9,22.7,8.5,0.1,298.15,
R02334,,,8.5,0.1,298.15,uncertainty is too high
R02335,-22.8,7.5,8.5,0.1,298.15,
R02336,,,8.5,0.1,298.15,uncertainty is too high
R02337,,,8.5,0.1,298.15,uncertainty is too high
R02338,-339.5,12.5,8.5,0.1,298.15,
R02339,-446.6,12.6,8.5,0.1,298.15,
R02340,19.2,5.8,8.5,0.1,298.15,
R02341,2.3,14.9,8.5,0.1,298.15,
R02343,12.0,5.7,8.5,0.1,298.15,
R02344,12.1,5.1,8.5,0.1,298.15,
R02345,1.9,6.2,8.5,0.1,298.15,
R02347,,,8.5,0.1,298.15,uncertainty is too high
R02349,,,8.5,0.1,298.15,uncertainty is too high
R02350,,,8.5,0.1,298.15,uncertainty is too high
R02351,,,8.5,0.1,298.15,uncertainty is too high
R02352,-3.6,2.9,8.5,0.1,298.15,
R02353,-2.6,3.0,8.5,0.1,298.15,
R02354,-433.3,7.8,8.5,0.1,298.15,
R02355,-434.3,7.8,8.5,0.1,298.15,
R02356,-400.2,6.6,8.5,0.1,298.15,
R02358,-68.5,9.2,8.5,0.1,298.15,
R02359,,,8.5,0.1,298.15,uncertainty is too high
R02360,-1011.0,5.2,8.5,0.1,298.15,
R02363,-277.1,24.5,8.5,0.1,298.15,
R02364,,,8.5,0.1,298.15,uncertainty is too high
R02365,,,8.5,0.1,298.15,uncertainty is too high
R02366,,,8.5,0.1,298.15,uncertainty is too high
R02367,-42.9,13.7,8.5,0.1,298.15,
R02368,11.7,5.8,8.5,0.1,298.15,
R02369,-13.1,4.4,8.5,0.1,298.15,
R02370,-20.5,15.0,8.5,0.1,298.15,
R02371,-23.6,20.4,8.5,0.1,298.15,
R02372,-20.7,20.6,8.5,0.1,298.15,
R02373,,,8.5,0.1,298.15,uncertainty is too high
R02374,,,8.5,0.1,298.15,uncertainty is too high
R02375,,,8.5,0.1,298.15,uncertainty is too high
R02376,-37.3,3.8,8.5,0.1,298.15,
R02377,17.4,6.1,8.5,0.1,298.15,
R02378,,,8.5,0.1,298.15,uncertainty is too high
R02379,,,8.5,0.1,298.15,uncertainty is too high
R02380,7.0,5.8,8.5,0.1,298.15,
R02381,,,8.5,0.1,298.15,uncertainty is too high
R02382,-95.4,13.6,8.5,0.1,298.15,
R02383,-434.0,14.9,8.5,0.1,298.15,
R02384,,,8.5,0.1,298.15,uncertainty is too high
R02385,-34.4,43.7,8.5,0.1,298.15,
R02387,-17.8,10.6,8.5,0.1,298.15,
R02388,-47.8,12.5,8.5,0.1,298.15,
R02389,1.0,108.3,8.5,0.1,298.15,
R02391,-111.8,125.5,8.5,0.1,298.15,
R02393,-110.8,125.5,8.5,0.1,298.15,
R02394,-666.5,125.7,8.5,0.1,298.15,
R02395,,,8.5,0.1,298.15,uncertainty is too high
R02396,,,8.5,0.1,298.15,uncertainty is too high
R02397,,,8.5,0.1,298.15,uncertainty is too high
R02398,,,8.5,0.1,298.15,uncertainty is too high
R02401,-55.3,5.4,8.5,0.1,298.15,
R02402,-3.4,5.3,8.5,0.1,298.15,
R02404,-3.5,6.1,8.5,0.1,298.15,
R02405,-0.9,6.4,8.5,0.1,298.15,
R02406,-7.2,6.8,8.5,0.1,298.15,
R02407,-3.2,6.3,8.5,0.1,298.15,
R02408,35.4,14.6,8.5,0.1,298.15,
R02409,,,8.5,0.1,298.15,uncertainty is too high
R02410,-13.1,8.9,8.5,0.1,298.15,
R02411,-5.5,6.1,8.5,0.1,298.15,
R02412,-13.3,3.3,8.5,0.1,298.15,
R02413,69.5,9.5,8.5,0.1,298.15,
R02415,9.7,47.0,8.5,0.1,298.15,
R02416,2.5,36.1,8.5,0.1,298.15,
R02417,,,8.5,0.1,298.15,uncertainty is too high
R02418,,,8.5,0.1,298.15,uncertainty is too high
R02419,18.9,5.8,8.5,0.1,298.15,
R02420,,,8.5,0.1,298.15,uncertainty is too high
R02421,159.8,3.2,8.5,0.1,298.15,
R02422,8.4,5.8,8.5,0.1,298.15,
R02423,25.7,16.6,8.5,0.1,298.15,
R02424,-69.8,18.6,8.5,0.1,298.15,
R02425,-69.8,18.6,8.5,0.1,298.15,
R02426,-56.6,5.4,8.5,0.1,298.15,
R02427,-27.9,5.0,8.5,0.1,298.15,
R02428,-29.6,4.9,8.5,0.1,298.15,
R02429,-42.0,4.2,8.5,0.1,298.15,
R02430,-20.3,4.5,8.5,0.1,298.15,
R02432,,,8.5,0.1,298.15,uncertainty is too high
R02433,,,8.5,0.1,298.15,uncertainty is too high
R02434,,,8.5,0.1,298.15,uncertainty is too high
R02436,,,8.5,0.1,298.15,uncertainty is too high
R02437,0.1,3.4,8.5,0.1,298.15,
R02438,1.9,2.3,8.5,0.1,298.15,
R02439,-20.2,4.6,8.5,0.1,298.15,
R02441,11.2,4.8,8.5,0.1,298.15,
R02442,-435.2,50.7,8.5,0.1,298.15,
R02443,-871.1,55.6,8.5,0.1,298.15,
R02444,-461.0,47.4,8.5,0.1,298.15,
R02445,,,8.5,0.1,298.15,uncertainty is too high
R02446,,,8.5,0.1,298.15,uncertainty is too high
